ID,ADDRESS,NAME,BIRTH_DATE,LISENCE_DATE,PHONE_NUMBER,GENDER,EMAIL,NATIONALITY
1,"771 Owens Brooks Apt. 028West Melanieborough, OR 65208",Jessica Smith,1968-07-16,1984-03-01,053987579,F,kelly11@example.com,SPAIN
2,"631 Rachel ShoalGreeneshire, OH 30268",Joshua Ware,1972-08-02,1972-01-20,983497439,M,davisanthony@example.org,SPAIN
3,"4026 Mora KeysNorth William, WY 47774",Robin Brown,1975-04-08,2016-05-07,640203018,F,vjimenez@example.net,JAPAN
4,"PSC 2017, Box 8182APO AE 50447",Crystal Nguyen,1959-04-01,1985-12-20,572053292,M,christopher07@example.org,ITALY
5,"6542 Natasha Roads Suite 581West Brandifort, AZ 01322",Christian Smith,1975-01-14,1996-10-24,755747259,M,nicholasgreen@example.org,ITALY
6,"2751 Pena ForkNew Stevenville, NH 27538",Kevin Orozco,1995-10-08,1997-10-15,121329826,M,lisa13@example.net,ASIAN
7,"PSC 0697, Box 6680APO AP 47778",Robert Brown,1957-02-01,1938-07-26,933593890,F,stephanieboyer@example.org,USA
8,"0422 West Forest Apt. 419Larsonview, WV 68299",Christian Owen,1960-05-28,2006-12-12,238422698,F,evandavis@example.com,SPAIN
9,"82843 Wyatt Unions Apt. 467North Adamville, NE 01293",Sarah Obrien,2002-07-01,1941-06-27,876267756,F,iortiz@example.com,ISRAEL
10,"5915 Parker Groves Apt. 127Lake Andrewville, GA 14465",Anthony Adams,1986-11-27,2016-07-10,435170782,F,dramsey@example.org,ASIAN
11,"02495 Gilbert WallWest Joe, DC 69268",Richard Hernandez,1933-05-02,1954-07-25,456114160,M,thompsonamanda@example.net,ITALY
12,"48768 Kline Neck Suite 840South Anthony, NH 70433",Lynn Pugh,1977-10-12,1965-04-22,532290871,M,dherrera@example.net,ISRAEL
13,"2467 Daniel Glens Apt. 584East Phillip, NE 45638",Caleb Holder,1958-12-05,2021-05-17,343032985,F,xjones@example.com,USA
14,"348 Mark HighwayEast Michaelview, MS 32967",Patrick Castillo,1936-10-17,1953-12-21,821453077,M,ashley85@example.org,ISRAEL
15,"62487 Anthony Plains Suite 773Rileystad, KY 21442",Justin Hill,1938-07-14,1937-02-03,610773607,F,stephanie50@example.com,ITALY
16,"6001 Brown GreensAndersonside, IN 72146",Bruce Lucero,1939-01-03,1932-07-14,881909084,M,fhurley@example.org,ISRAEL
17,"867 Stephanie PlainsWest Matthew, AL 73457",Ryan Meyer,1930-10-13,1978-03-02,539827591,F,wilsondavid@example.com,ISRAEL
18,"126 Seth SpurNorth Dorothyberg, IL 35811",Tiffany Edwards,1988-05-22,2021-08-25,946391352,F,phillipwarner@example.net,ASIAN
19,"15192 Mason Camp Apt. 747Jamesshire, IL 09420",Jacob Young Jr.,1922-09-14,1944-05-16,699603630,M,johnsondouglas@example.com,ASIAN
20,USS MorganFPO AA 39500,Sarah Hines,1929-09-18,1940-06-23,153427175,M,mark28@example.net,ASIAN
21,"344 Nichols Center Apt. 489East Matthewburgh, MD 36217",Tami Allen,1981-07-31,1982-09-25,811644739,F,cookamanda@example.net,ITALY
22,"38097 Kimberly Trail Apt. 921Andreaport, IN 37528",Wendy Chambers,1990-04-21,1969-05-21,785436601,F,ronald56@example.com,JAPAN
23,"54900 Jeanette Cliff Suite 394North Stacy, KY 08327",Lisa Green,1996-02-14,1991-08-13,343585488,F,jeffrey28@example.org,ASIAN
24,"14512 Mark StravenueSouth Kimberly, PA 58036",Teresa Saunders,1979-02-12,1994-01-15,799014483,M,williamserin@example.net,USA
25,"077 Simmons LodgeEast Christopherville, NV 37100",Candice Garcia,1982-11-14,2013-05-27,050690291,F,ramosbrian@example.net,ASIAN
26,"075 Krista Squares Suite 122Robertsontown, ME 76834",Wayne Johnson,2005-04-13,2018-10-13,865503240,M,jessica19@example.com,USA
27,"49745 Stafford Cove Suite 294Port Joseph, NE 64845",Linda Moon,1963-10-04,1949-08-04,994494388,M,anna45@example.net,SPAIN
28,"59955 Ortiz Lock Apt. 305Larryfurt, VT 69150",Melissa Mathis,1943-10-22,1989-04-15,452327967,F,robertperez@example.org,SPAIN
